"Date","Price","Open","High","Low","Vol.","Change %",""
"2019-09-27","7946.7","8063.8","8119.9","7929.6","687.71K","-1.45%",""
"2019-09-28","8063.8","8432.5","8463.1","7773.6","731.03K","-4.37%",""
"2019-09-29","8432.4","8512.3","8729.8","8245.1","696.11K","-0.96%",""
"2019-09-30","8513.9","9702.7","9793.8","8069.4","933.16K","-12.25%",""
"2019-10-01","9702.2","10031.3","10048.8","9656.3","431.10K","-3.28%",""
"2019-10-02","10031.6","9993","10075","9870.9","337.06K","0.39%",""
"2019-10-03","9993","10172.8","10177.9","9939.8","326.17K","-1.77%",""
"2019-10-04","10172.7","10251.5","10279.5","10088.6","362.07K","-0.76%",""
"2019-10-05","10250.5","10164.6","10297.6","9707.6","542.25K","0.84%",""
"2019-10-06","10164.7","10195.7","10257.5","10119.3","318.82K","-0.30%",""
"2019-10-07","10195.7","10254.6","10273.6","10153.5","321.64K","-0.58%",""
"2019-10-08","10255.5","10311.3","10360.5","10108.5","372.53K","-0.54%",""
"2019-10-09","10311.5","10337.3","10360.4","10272","255.79K","-0.25%",""
"2019-10-10","10337.3","10342.2","10421.4","10253.7","326.44K","-0.05%",""
"2019-10-11","10342.1","10415.2","10441.4","10174.1","365.52K","-0.70%",""
"2019-10-12","10415.1","10162.4","10447.9","10051","413.22K","2.49%",""
"2019-10-13","10162.5","10104.9","10257.5","9908.9","413.06K","0.57%",""
"2019-10-14","10105.4","10308.7","10379.8","9970.7","383.22K","-1.98%",""
"2019-10-15","10309","10402.1","10478","10095.7","473.76K","-0.90%",""
"2019-10-16","10402.8","10461.6","10578","10266.3","339.73K","-0.56%",""
"2019-10-17","10461.1","10306.9","10556.4","10302.3","393.57K","1.47%",""
"2019-10-18","10309.3","10566.7","10896.2","10227.4","643.02K","-2.44%",""
"2019-10-19","10566.9","10567.8","10630.7","10469.9","402.09K","-0.01%",""
"2019-10-20","10568.2","10611.6","10783.6","10388.6","504.45K","-0.42%",""
"2019-10-21","10612.3","10348.1","10756.8","10283.5","578.79K","2.55%",""
"2019-10-22","10348.8","9728.8","10431.5","9720.3","542.79K","6.37%",""
"2019-10-23","9729.3","9594.7","9799.5","9533.6","322.66K","1.41%",""
"2019-10-24","9594.4","9585.5","9677.5","9457.3","311.49K","0.09%",""
"2019-10-25","9585.4","9494.1","9675.7","9370.2","413.92K","0.99%",""
"2019-10-26","9491","9729.1","9729.1","9343","509.13K","-2.45%",""
"2019-10-27","9729.4","10184.7","10271.3","9629.6","580.29K","-4.47%",""
"2019-10-28","10184.8","10372.2","10387.6","10060.2","419.81K","-1.80%",""
